"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-05","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28551612","","","","0"
"2016-06","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28549498","","","","0"
"2016-07","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28939200","","","","0"
"2016-08","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28861895","","","","0"
"2016-09","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28876575","","","","0"
"2016-10","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28505995","","","","0"
"2016-11","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28341128","","","","0"
"2016-12","Canada","2016A000011124","Raw materials, fuel, supplies, components, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801800","1.4.2.1","28729276","","","","0"
"2016-01","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","19987568","","","","0"
"2016-02","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","19815753","","","","0"
"2016-03","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","19123704","","","","0"
"2016-04","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","19123781","","","","0"
"2016-05","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","19382925","","","","0"
"2016-06","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","18606873","","","","0"
"2016-07","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","18823939","","","","0"
"2016-08","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","18793585","","","","0"
"2016-09","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","18711483","","","","0"
"2016-10","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","19191066","","","","0"
"2016-11","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","19118240","","","","0"
"2016-12","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v801838","1.5.1.1","17482956","","","","0"
"2016-01","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","20036544","","","","0"
"2016-02","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","19509829","","","","0"
"2016-03","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","19301191","","","","0"
"2016-04","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","18919592","","","","0"
"2016-05","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","18941402","","","","0"
"2016-06","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","18871706","","","","0"
"2016-07","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","18849655","","","","0"
"2016-08","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","18666467","","","","0"
"2016-09","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","18871634","","","","0"
"2016-10","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","19008457","","","","0"
"2016-11","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","18770769","","","","0"
"2016-12","Canada","2016A000011124","Goods or work in process, estimated values at end of month","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802263","1.5.2.1","18414627","","","","0"
"2016-01","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","22897661","","","","0"
"2016-02","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23099949","","","","0"
"2016-03","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","22852117","","","","0"
"2016-04","Canada","2016A000011124","Finished goods manufactured, estimated values at end of  month","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v802301","1.6.1.1","23163796","","","","0"
